,2,16,15,6,3,11,5
8181,8,8,1,7,9,7,4
3284,14,9,6,8,7,1,4
11023,10,8,4,5,5,6,3
9760,8,8,0,7,4,6,4
2223,9,9,5,9,4,4,2
11336,9,5,4,6,7,10,5
12432,1,7,2,8,4,7,3
10654,0,9,6,5,1,6,1
3242,9,7,8,7,6,6,8
2537,6,9,4,9,7,4,3
16501,7,5,6,5,5,5,5
16295,9,10,7,5,7,7,7
19447,5,8,0,7,5,7,3
9935,7,8,3,8,4,5,3
3050,7,8,4,6,5,6,5
17873,11,7,2,7,11,6,5
10534,6,7,2,9,5,6,7
16092,3,9,4,6,3,7,1
10171,11,8,1,8,6,5,3
4552,10,7,3,6,7,8,4
17546,7,9,6,3,3,6,3
9208,6,7,7,8,5,7,6
9436,5,7,3,8,6,7,5
13910,9,7,3,6,5,6,3
2048,11,6,8,6,7,6,10
6151,6,8,6,8,4,6,3
3704,9,9,5,7,7,5,5
15686,8,8,8,8,4,6,3
17859,7,5,4,6,6,7,5
19918,11,7,6,6,6,6,8
3206,9,8,8,6,5,7,5
6377,1,7,2,7,2,6,1
6192,7,6,5,7,5,4,5
7062,8,8,3,8,6,6,5
11173,10,7,1,10,9,2,5
19849,6,8,4,5,4,6,2
15467,8,7,3,9,6,1,3
19712,3,10,3,6,2,7,1
7177,9,4,4,3,6,12,4
9414,5,11,6,8,6,5,3
17655,9,8,4,5,4,6,2
17303,7,8,4,5,5,7,2
13648,7,10,7,10,5,8,6
4352,10,11,5,6,5,5,6
18488,5,11,6,7,5,5,5
15499,7,4,5,7,6,6,6
5842,10,8,1,8,4,6,3
10402,9,7,4,6,10,8,8
19440,11,9,4,8,6,2,5
11212,6,8,4,7,6,6,2
13375,4,11,6,7,5,5,2
3285,9,3,6,5,7,10,4
13674,4,7,3,6,5,6,2
3661,9,4,5,6,7,1,5
19665,3,11,6,5,4,4,2
12928,3,10,9,6,4,6,3
3674,3,5,1,5,3,8,1
14022,10,8,3,7,5,8,4
15749,13,8,4,9,8,3,5
1885,0,8,0,8,1,12,0
6406,5,8,0,5,8,8,4
11001,7,7,3,6,5,7,4
11978,7,8,0,7,4,8,2
1641,10,8,4,8,6,7,3
616,6,5,3,5,5,10,3
13869,8,8,9,8,6,7,6
14711,9,8,9,7,4,6,2
17399,11,7,4,4,8,10,6
14088,10,7,1,6,9,10,4
18010,8,8,5,7,7,3,5
2464,11,8,4,5,6,6,3
9122,8,8,1,5,5,10,2
12466,8,7,3,7,8,6,5
5279,4,9,5,7,4,6,2
12288,13,10,5,9,5,4,3
6914,5,8,2,6,5,7,3
12055,5,7,2,5,3,9,1
14631,7,11,7,6,5,6,5
13182,2,8,4,6,5,6,3
8783,8,7,4,4,10,11,6
9597,15,8,3,7,8,8,4
7310,9,11,6,5,5,3,3
15928,4,10,5,5,3,7,2
644,9,9,2,10,9,3,6
15678,3,8,0,8,3,9,2
7862,8,9,3,10,6,4,4
8192,0,8,7,7,2,5,1
15626,3,9,4,8,3,6,3
17098,6,6,2,4,7,10,5
15118,9,8,7,7,6,6,4
4655,0,8,3,8,1,6,0
7477,0,8,0,12,1,5,0
2679,11,8,0,7,0,6,1
8604,4,7,1,10,2,4,1
14881,1,9,4,6,3,6,1
5657,7,7,3,8,5,7,4
14683,5,5,2,5,4,9,2
11874,8,6,9,6,6,8,6
12921,0,8,3,5,2,6,1
4241,11,9,4,5,6,6,2
5773,8,6,3,7,5,6,4
9470,10,7,1,10,4,3,2
6954,4,8,2,7,4,6,2
18846,7,8,4,4,4,6,2
5423,9,7,5,7,6,8,5
12606,10,8,3,8,9,4,7
3203,11,7,1,2,7,11,4
834,3,8,1,9,3,3,1
15096,2,9,6,7,4,6,4
9222,6,8,8,7,4,6,1
17206,7,9,4,9,9,4,6
5131,5,8,5,7,5,6,2
16307,9,6,3,4,6,2,4
3953,9,7,3,8,7,2,4
15040,7,6,2,6,5,2,3
16697,3,8,3,8,3,5,1
13158,3,7,5,7,4,7,2
1362,2,10,4,5,4,8,2
4672,0,8,0,7,3,13,0
1613,7,10,5,10,5,3,3
17331,8,10,5,10,7,4,6
16926,9,10,6,9,6,4,4
8433,13,11,10,9,7,5,5
8274,0,8,2,6,1,6,1
14013,2,5,2,7,3,6,2
4387,12,6,1,4,10,11,4
277,10,9,5,5,7,8,5
17479,7,9,9,8,7,8,10
9578,7,10,5,9,5,7,5
12077,7,7,2,8,5,11,2
12887,4,7,3,7,6,7,3
13030,8,10,5,5,6,6,6
631,7,8,3,8,8,6,6
1194,7,7,3,6,3,5,3
12435,7,6,2,2,7,11,4
8570,10,8,3,7,6,6,5
2294,8,7,3,7,6,7,5
14719,1,8,3,6,3,5,2
6678,10,8,4,7,6,6,6
12526,1,11,2,5,2,6,0
11474,3,8,2,7,4,6,2
19284,11,8,0,5,7,8,4
8091,7,8,0,8,4,12,2
19921,14,8,4,9,8,3,5
15142,7,7,7,7,5,6,6
10977,5,8,9,8,3,6,2
4584,3,8,0,6,2,11,1
12538,9,10,7,8,5,6,5
15696,12,9,6,10,5,4,3
14817,9,8,0,0,3,0,1
7456,10,9,2,6,7,7,8
10662,7,8,0,8,5,12,2
17550,11,10,5,10,9,3,8
12844,5,6,1,4,3,1,2
4303,11,5,3,5,6,10,4
3042,9,6,11,7,8,5,9
12555,11,8,0,7,6,9,4
12208,10,8,1,2,7,12,4
5935,9,9,4,7,6,6,4
13102,4,9,5,9,3,5,1
16171,9,9,6,9,4,4,3
3903,9,10,8,6,8,7,8
13670,4,8,0,7,5,14,1
3863,8,8,1,11,3,2,1
10070,2,10,5,7,3,6,2
19618,6,10,5,8,3,8,2
19952,9,8,0,7,4,10,2
2804,11,8,2,6,9,12,5
2922,6,8,6,8,5,8,5
1943,5,9,4,6,6,6,2
5510,13,9,6,11,9,4,6
17579,8,6,6,7,5,7,6
1987,4,8,2,7,2,2,1
18040,10,8,0,7,7,14,2
8641,5,11,6,6,6,6,3
17046,12,6,5,6,6,6,4
2791,8,7,1,7,6,7,2
4687,3,5,1,5,3,9,1
4834,8,8,0,8,4,10,2
19753,1,8,0,12,1,4,0
448,11,12,6,10,9,3,7
14586,5,8,3,7,1,6,1
16086,7,8,4,8,6,6,3
19181,4,9,5,5,3,6,2
1295,13,10,8,8,5,4,3
19828,10,9,4,7,7,7,6
974,10,8,1,4,9,9,7
4310,8,11,6,8,7,6,7
7760,6,7,7,7,6,6,5
2854,9,8,8,8,7,7,8
9009,3,5,1,5,3,9,1
1249,6,11,4,9,6,3,4
10652,1,8,0,7,2,8,1
1973,9,8,4,7,5,7,6
15125,4,7,2,7,5,6,2
9778,10,8,2,12,7,2,5
7078,8,8,3,7,1,6,1
57,6,8,3,6,3,6,2
7065,0,8,0,3,1,3,0
6217,9,9,4,6,5,6,3
12807,10,6,4,8,6,7,5
15958,7,11,2,4,4,6,3
19304,0,8,1,8,2,2,0
17848,6,6,2,3,4,9,4
8828,4,8,3,7,5,6,3
1565,10,8,0,12,3,5,2
12581,10,7,9,7,5,6,5
5707,5,6,2,4,5,10,2
4910,7,5,10,9,7,5,6
13243,11,6,4,3,9,11,5
1441,7,9,7,6,6,6,5
17312,9,12,6,12,6,3,4
18658,9,7,0,7,4,6,4
19724,9,7,4,8,6,4,4
12911,11,4,2,5,7,9,5
6612,9,7,1,2,6,10,5
16854,9,0,12,5,6,7,7
10995,7,6,4,7,6,6,6
7449,4,7,1,7,2,11,1
19983,10,10,3,6,5,9,2
6188,9,11,6,5,4,4,2
15653,9,6,2,3,6,10,4
15066,9,7,6,5,6,7,6
10790,4,8,3,7,4,4,2
6458,6,9,5,5,6,6,4
10349,2,8,3,7,4,6,3
18203,2,7,1,10,3,4,1
6073,6,9,6,6,4,4,3
17354,6,8,4,6,6,6,3
6897,11,4,3,5,7,9,5
6080,5,8,3,9,5,4,3
8912,0,8,0,7,3,13,0
18744,8,4,9,6,7,6,7
17023,5,10,6,7,3,6,3
18405,3,9,2,7,2,3,1
19213,10,8,5,7,7,5,7
8269,3,8,3,8,3,2,1
17974,10,10,4,5,4,8,3
9162,13,8,5,7,7,5,6
6306,1,7,2,8,4,2,1
13108,13,8,2,6,8,4,5
2840,0,8,0,7,0,6,0
9182,6,7,1,8,2,5,2
17388,7,7,9,9,7,5,6
2515,8,8,4,6,6,6,2
3890,5,6,3,7,7,7,4
17941,4,8,3,7,3,6,2
9266,10,8,0,7,0,6,0
6567,7,8,0,8,4,12,1
9953,9,7,1,6,6,12,3
13391,4,7,0,8,4,6,1
13952,10,6,5,7,6,7,4
6600,5,11,9,8,5,6,5
10322,11,10,2,7,8,8,7
11294,10,9,3,9,10,4,9
14073,5,7,7,3,5,5,3
13547,5,8,0,6,6,12,1
11768,5,8,4,7,5,8,3
1867,2,8,4,7,4,6,3
16651,0,8,0,2,2,3,0
13696,7,7,0,7,7,7,3
13475,6,11,4,9,5,2,3
5522,3,6,3,5,2,9,1
5414,9,9,7,7,7,7,8
9478,11,9,5,7,5,7,2
11598,0,8,0,7,2,8,1
7917,6,7,3,7,4,6,4
1076,12,12,7,11,6,3,4
14147,7,6,4,6,5,7,3
15445,10,8,4,7,6,6,5
7076,7,4,3,6,6,9,4
6020,2,7,3,6,4,7,3
12594,6,9,4,6,5,8,3
15718,15,7,4,6,9,4,4
3053,11,9,6,8,6,7,3
16823,7,7,4,6,4,8,3
4972,4,9,5,5,4,6,2
603,9,8,0,7,6,11,2
6802,5,8,3,9,5,4,3
15476,11,8,3,7,2,6,3
3210,11,7,2,9,11,3,5
6684,12,6,1,5,9,10,4
11956,6,10,7,8,5,6,4
